20150929,吃飯,qiufeng,hupili,100,
20150930,泰國,chaotianyi,hupili,261,
20151001,粥面,hupili,qiufeng,32,
20151001,粥面,hupili,kateliu1992,38,
20151002,三哥,hupili,kateliu1992,28,
20151002,三哥,hupili,andyshuxin,48,
20151002,三哥,hupili,qiufeng,41,
20151005,遥远的小菜,hupili,qiufeng,59,
20151005,遥远的小菜,hupili,andyshuxin,59,
20151005,遥远的小菜,hupili,chaotianyi,59,
20151005,越南,hupili,andyshuxin,68.4,
20151005,越南,hupili,chaotianyi,68.4,
20151005,越南,hupili,qiufeng,68.4,
20151005,越南,hupili,franklin,68.4,
20151005,日料,franklin,chaotianyi,73.25,
20151005,日料,franklin,qiufeng,73.25,
20151005,日料,franklin,kateliu1992,73.25,
20151006,兩個前端,qiufeng,hupili,65,
20151006,兩個前端,qiufeng,kateliu1992,65,
20151006,兩個前端,qiufeng,andyshuxin,65,
20151006,七重天,qiufeng,hupili,50,
20151007,兩個前端,kateliu1992,andyshuxin,38,
20151007,兩個前端,kateliu1992,chaotianyi,38,
20151007,泰國,andyshuxin,hupili,63,
20151007,泰國,andyshuxin,chaotianyi,63,
20151007,泰國,andyshuxin,qiufeng,63,
20151007,泰國,andyshuxin,franklin,63,
20151007,泰國,andyshuxin,kateliu1992,32,
20151008,七重天,kateliu1992,hupili,82,
20151011,台灣,hupili,chaotianyi,50,
20151011,台灣,hupili,franklin,50,
20151011,越南,franklin,hupili,41,
20151011,越南,franklin,chaotianyi,41,
20151009,兩個前端,chaotianyi,hupili,43,
20151009,兩個前端,chaotianyi,kateliu1992,43,
20151009,兩個前端,chaotianyi,franklin,43,
20151009,兩個前端,chaotianyi,qiufeng,43,
20151009,兩個前端,chaotianyi,andyshuxin,43,
20151008,兩個前端,qiufeng,andyshuxin,55,
20151008,兩個前端,qiufeng,hupili,55,
20151008,兩個前端,qiufeng,kateliu1992,55,
20151012,兩個前端,franklin,andyshuxin,45,
20151013,兩個前端,franklin,chaotianyi,45,
20151013,兩個前端,franklin,qiufeng,45,
20151013,兩個前端,franklin,kateliu1992,45,
20151000,無名餐廳,kateliu1992,chaotianyi,38,
20151000,無名餐廳,kateliu1992,franklin,38,
20151000,兩個前端,kateliu1992,andyshuxin,47,
20151000,兩個前端,kateliu1992,hupili,47,
20151000,兩個前端,kateliu1992,chaotianyi,47,
20151000,兩個前端,kateliu1992,qiufeng,47,
20151000,兩個前端,kateliu1992,franklin,47,
20151014,三哥,hupili,andyshuxin,62,
20151014,三哥,hupili,chaotianyi,45,
20151014,三哥,hupili,qiufeng,38,
20151014,兩個前端,andyshuxin,hupili,38,
20151014,兩個前端,andyshuxin,chaotianyi,38,
20151014,兩個前端,andyshuxin,qiufeng,38,
20151014,兩個前端,andyshuxin,franklin,38,
20151014,兩個前端,andyshuxin,kateliu1992,38,
20151015,台灣,chaotianyi,hupili,50,
20151015,台灣,chaotianyi,andyshuxin,50,
20151015,台灣,chaotianyi,franklin,50,
20151015,台灣,chaotianyi,qiufeng,35,
20151015,台灣,chaotianyi,kateliu1992,35,
20151016,越南,andyshuxin,chaotianyi,67,
20151016,越南,andyshuxin,hupili,67,
20151016,越南,andyshuxin,qiufeng,67,
20151017,Singapore,hupili,andyshuxin,100,
20151017,Singapore,hupili,chaotianyi,80,
20151018,七重天,hupili,andyshuxin,80,
20151018,七重天,hupili,qiufeng,50,
